,code,name
214,KR7082640004,동양생명
215,KR7008970006,동양철관
216,KR7092780006,동양피스톤
217,KR7049770001,동원F&B
218,KR7018500009,동원금속
219,KR7006040000,동원산업
220,KR7030720007,동원수산
221,KR7014820005,동원시스템즈
222,KR7163560006,동일고무벨트
223,KR7004890000,동일산업
224,KR7002690006,동일제강
225,KR7000020008,동화약품
226,KR7241560002,두산밥캣
227,KR7000150003,두산
228,KR7042670000,두산인프라코어
229,KR7034020008,두산중공업
230,KR733626K013,두산퓨얼셀1우
231,KR733626K021,두산퓨얼셀2우B
232,KR7336260005,두산퓨얼셀
233,KR7016740003,두올
234,KR7192650000,드림텍
235,KR7024090003,디씨엠
236,KR7003160009,디아이
237,KR7092200005,디아이씨
238,KR7004840005,DRB동일
239,KR7013570007,디와이
240,KR7210540001,디와이파워
241,KR7007340003,디티알오토모티브
242,KR7026890004,디피씨
243,KR7115390007,락앤락
244,KR7032350001,롯데관광개발
245,KR7330590001,롯데리츠
246,KR7000400002,롯데손해보험
247,KR7023530009,롯데쇼핑
248,KR7004000006,롯데정밀화학
249,KR7286940002,롯데정보통신
250,KR7280360009,롯데제과
251,KR700499K014,롯데지주우
252,KR7004990008,롯데지주
253,KR7005300009,롯데칠성
254,KR7011170008,롯데케미칼
255,KR7002270007,롯데푸드
256,KR7071840003,롯데하이마트
257,KR7027740000,마니커
258,KR7204320006,만도
259,KR7001080001,만호제강
260,KR7088980008,맥쿼리인프라
261,KR7138040001,메리츠금융지주
262,KR7008560005,메리츠증권
263,KR7000060004,메리츠화재
264,KR7090370008,메타랩스
265,KR7017180001,명문제약
266,KR7009900002,명신산업
267,KR7012690004,모나리자
268,KR7005360003,모나미
269,KR7204210009,모두투어리츠
270,KR7009680000,모토닉
271,KR7009200007,무림페이퍼
272,KR7009580002,무림P&P
273,KR7033920000,무학
274,KR7008420002,문배철강
275,KR7025560004,미래산업
276,KR7007120009,미래아이앤지
277,KR7006800007,미래에셋대우
278,KR700680K019,미래에셋대우2우B
279,KR7357250000,미래에셋맵스리츠
280,KR7094800000,맵스리얼티1
281,KR7085620003,미래에셋생명
282,KR7002840007,미원상사
283,KR7268280005,미원에스씨
284,KR7107590002,미원홀딩스
285,KR7134380005,미원화학
286,KR7003650009,미창석유
287,KR7155900004,바다로19호
288,KR7003610003,방림
289,KR7001340009,백광산업
290,KR7035150002,백산
291,KR7002410009,범양건영
292,KR7007210008,벽산
293,KR7002760007,보락
294,KR7003850005,보령제약
295,KR7000890004,보해양조
296,KR7003000007,부광약품
297,KR7001270008,부국증권
298,KR7026940007,부국철강
299,KR7015350002,부산가스
300,KR7011390002,부산산업
301,KR7005030002,부산주공
302,KR7002070001,비비안
303,KR7100220003,비상교육
304,KR7030790000,비케이탑스
305,KR7352820005,빅히트
306,KR7005180005,빙그레
307,KR7003960002,사조대림
308,KR7008040008,사조동아원
309,KR7007160005,사조산업
310,KR7014710008,사조씨푸드
311,KR7006090005,사조오양
312,KR7001470004,삼부토건
313,KR7006400006,삼성SDI
314,KR7006660005,삼성공조
315,KR702826K016,삼성물산우B
316,KR7028260008,삼성물산
317,KR7207940008,삼성바이오로직스
318,KR7032830002,삼성생명
319,KR7018260000,삼성에스디에스
320,KR7028050003,삼성엔지니어링
321,KR7009150004,삼성전기
322,KR7005930003,삼성전자
323,KR7001360007,삼성제약
324,KR7010140002,삼성중공업
325,KR7016360000,삼성증권
326,KR7068290006,삼성출판사
327,KR7029780004,삼성카드
328,KR7000810002,삼성화재
329,KR7006110001,삼아알미늄
330,KR7145990008,삼양사
331,KR7003230000,삼양식품
332,KR7002170009,삼양통상
333,KR7272550005,삼양패키징
334,KR7000070003,삼양홀딩스
335,KR7002810000,삼영무역
336,KR7005680004,삼영전자
337,KR7003720000,삼영화학
338,KR7023000003,삼원강재
339,KR7004380002,삼익THK
340,KR7002450005,삼익악기
341,KR7004440004,삼일씨엔에스
342,KR7000520007,삼일제약
343,KR7009770009,삼정펄프
344,KR7005500004,삼진제약
345,KR7004690004,삼천리
346,KR7010960003,삼호개발
347,KR7004450003,삼화왕관
348,KR7009470006,삼화전기
349,KR7011230000,삼화전자
350,KR7001820000,삼화콘덴서
351,KR7000390005,삼화페인트
352,KR7001290006,상상인증권
353,KR7041650003,상신브레이크
354,KR7075180000,새론오토모티브
355,KR7007540008,샘표
356,KR7248170003,샘표식품
357,KR7007860000,서연
358,KR7200880003,서연이화
359,KR7017390006,서울가스
360,KR7004410007,서울식품
361,KR7021050000,서원
362,KR7008490005,서흥
363,KR7007610009,선도전기
364,KR7136490000,선진
365,KR7002820009,선창산업
366,KR7014910004,성문전자
367,KR7003080009,성보화학
368,KR7004980009,성신양회
369,KR7011300001,성안
370,KR7000180000,성창기업지주
371,KR7002420008,세기상사
372,KR7004360004,세방
373,KR7004490009,세방전지
374,KR7001430008,세아베스틸
375,KR7306200007,세아제강
376,KR7003030004,세아제강지주
377,KR7019440007,세아특수강
378,KR7058650003,세아홀딩스
379,KR7013000005,세우글로벌
380,KR7091090001,세원셀론텍
381,KR7021820006,세원정공
382,KR7067830000,세이브존I&C
383,KR7033530007,세종공업
384,KR7075580001,세진중공업
385,KR7027970003,세하
386,KR7145210001,세화아이엠씨
387,KR7308170000,센트랄모텍
388,KR7012600003,센트럴인사이트
389,KR7068270008,셀트리온
390,KR733637K010,솔루스첨단소재1우
